"","variale","label"
"LBDHDD_outcome","LBDHDD_outcome","Direct HDL-Cholesterol (mg/dL)"
"DR1TKCAL","DR1TKCAL","Energy (kcal)"
"DR1TPROT","DR1TPROT","Protein (gm)"
"DR1TCARB","DR1TCARB","Carbohydrate (gm)"
"DR1TSUGR","DR1TSUGR","Total sugars (gm)"
"DR1TFIBE","DR1TFIBE","Dietary fiber (gm)"
"DR1TTFAT","DR1TTFAT","Total fat (gm)"
"DR1TSFAT","DR1TSFAT","Total saturated fatty acids (gm)"
"DR1TMFAT","DR1TMFAT","Total monounsaturated fatty acids (gm)"
"DR1TPFAT","DR1TPFAT","Total polyunsaturated fatty acids (gm)"
"DR1TCHOL","DR1TCHOL","Cholesterol (mg)"
"DR1TATOC","DR1TATOC","Vitamin E as alpha-tocopherol (mg)"
"DR1TATOA","DR1TATOA","Added alpha-tocopherol (Vitamin E) (mg)"
"DR1TRET","DR1TRET","Retinol (mcg)"
"DR1TVARA","DR1TVARA","Vitamin A, RAE (mcg)"
"DR1TACAR","DR1TACAR","Alpha-carotene (mcg)"
"DR1TBCAR","DR1TBCAR","Beta-carotene (mcg)"
"DR1TCRYP","DR1TCRYP","Beta-cryptoxanthin (mcg)"
"DR1TLYCO","DR1TLYCO","Lycopene (mcg)"
"DR1TLZ","DR1TLZ","Lutein + zeaxanthin (mcg)"
"DR1TVB1","DR1TVB1","Thiamin (Vitamin B1) (mg)"
"DR1TVB2","DR1TVB2","Riboflavin (Vitamin B2) (mg)"
"DR1TNIAC","DR1TNIAC","Niacin (mg)"
"DR1TVB6","DR1TVB6","Vitamin B6 (mg)"
"DR1TFOLA","DR1TFOLA","Total folate (mcg)"
"DR1TFA","DR1TFA","Folic acid (mcg)"
"DR1TFF","DR1TFF","Food folate (mcg)"
"DR1TFDFE","DR1TFDFE","Folate, DFE (mcg)"
"DR1TCHL","DR1TCHL","Total choline (mg)"
"DR1TVB12","DR1TVB12","Vitamin B12 (mcg)"
"DR1TB12A","DR1TB12A","Added vitamin B12 (mcg)"
"DR1TVC","DR1TVC","Vitamin C (mg)"
"DR1TVD","DR1TVD","Vitamin D (D2 + D3) (mcg)"
"DR1TVK","DR1TVK","Vitamin K (mcg)"
"DR1TCALC","DR1TCALC","Calcium (mg)"
"DR1TPHOS","DR1TPHOS","Phosphorus (mg)"
"DR1TMAGN","DR1TMAGN","Magnesium (mg)"
"DR1TIRON","DR1TIRON","Iron (mg)"
"DR1TZINC","DR1TZINC","Zinc (mg)"
"DR1TCOPP","DR1TCOPP","Copper (mg)"
"DR1TSODI","DR1TSODI","Sodium (mg)"
"DR1TPOTA","DR1TPOTA","Potassium (mg)"
"DR1TSELE","DR1TSELE","Selenium (mcg)"
"DR1TCAFF","DR1TCAFF","Caffeine (mg)"
"DR1TTHEO","DR1TTHEO","Theobromine (mg)"
"DR1TALCO","DR1TALCO","Alcohol (gm)"
"DR1TMOIS","DR1TMOIS","Moisture (gm)"
"DR1TS040","DR1TS040","SFA 4:0 (Butanoic) (gm)"
"DR1TS060","DR1TS060","SFA 6:0 (Hexanoic) (gm)"
"DR1TS080","DR1TS080","SFA 8:0 (Octanoic) (gm)"
"DR1TS100","DR1TS100","SFA 10:0 (Decanoic) (gm)"
"DR1TS120","DR1TS120","SFA 12:0 (Dodecanoic) (gm)"
"DR1TS140","DR1TS140","SFA 14:0 (Tetradecanoic) (gm)"
"DR1TS160","DR1TS160","SFA 16:0 (Hexadecanoic) (gm)"
"DR1TS180","DR1TS180","SFA 18:0 (Octadecanoic) (gm)"
"DR1TM161","DR1TM161","MFA 16:1 (Hexadecenoic) (gm)"
"DR1TM181","DR1TM181","MFA 18:1 (Octadecenoic) (gm)"
"DR1TM201","DR1TM201","MFA 20:1 (Eicosenoic) (gm)"
"DR1TM221","DR1TM221","MFA 22:1 (Docosenoic) (gm)"
"DR1TP182","DR1TP182","PFA 18:2 (Octadecadienoic) (gm)"
"DR1TP183","DR1TP183","PFA 18:3 (Octadecatrienoic) (gm)"
"DR1TP184","DR1TP184","PFA 18:4 (Octadecatetraenoic) (gm)"
"DR1TP204","DR1TP204","PFA 20:4 (Eicosatetraenoic) (gm)"
"DR1TP205","DR1TP205","PFA 20:5 (Eicosapentaenoic) (gm)"
"DR1TP225","DR1TP225","PFA 22:5 (Docosapentaenoic) (gm)"
"DR1TP226","DR1TP226","PFA 22:6 (Docosahexaenoic) (gm)"
"DRD340","DRD340","Shellfish eaten during past 30 days"
"DRD360","DRD360","Fish eaten during past 30 days"
"DRABF","DRABF","Breast-fed infant (either day)"
"DR1MRESP","DR1MRESP","Main respondent for this interview"
"DR1HELP","DR1HELP","Helped in responding for this interview"
"WTDR2D","WTDR2D","Dietary two-day sample weight"
"DRDINT","DRDINT","Number of days of intake"
"DR1TNUMF","DR1TNUMF","Number of foods/beverages reported"
"DR1_320Z","DR1_320Z","Total plain water drank yesterday (gm)"
"DR1_330Z","DR1_330Z","Total tap water drank yesterday (gm)"
"DR1BWATZ","DR1BWATZ","Total bottled water drank yesterday (gm)"
"DR1EXMER","DR1EXMER","Interviewer ID code"
"DR1DAY","DR1DAY","Intake day of the week"
"DBQ095Z","DBQ095Z","Type of table salt used"
"DRQSPREP","DRQSPREP","Salt used in preparation?"
"DR1STY","DR1STY","Salt used at table yesterday?"
"DRQSDIET","DRQSDIET","On special diet?"
"DR1_300","DR1_300","Compare food consumed yesterday to usual"
"DR1TWSZ","DR1TWSZ","Tap water source"
"DR1LANG","DR1LANG","Language respondent used mostly"
"RIAGENDR","RIAGENDR","Gender"
"INDFMPIR","INDFMPIR","Ratio of family income to poverty"
"DMDMARTZ","DMDMARTZ","Marital status"
"RIDAGEYR","RIDAGEYR","Age in years at screening"
"RIDRETH1","RIDRETH1","Race/Hispanic origin"
"RIDRETH3","RIDRETH3","Race/Hispanic origin w/ NH Asian"
"BMXBMI","BMXBMI","Body Mass Index (kg/m**2)"
"BMXWAIST","BMXWAIST","Waist Circumference (cm)"
"ALQ111","ALQ111","Ever had a drink of any kind of alcohol"
"ALQ121","ALQ121","Past 12 mos how often drink alc bev"
